"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-113.58","53.31","EDMONTON INTL A","3012216","2022-03-16","2022","03","16","","6.7","","-3.0","","1.9","","16.1","","0.0","","0.0","","0.0","","0.0","","10","","32","","32",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-03-17","2022","03","17","","5.7","","-6.8","","-0.6","","18.6","","0.0","","0.0","","0.0","","0.0","","10","","","M","","M"
"-113.58","53.31","EDMONTON INTL A","3012216","2022-03-18","2022","03","18","","5.6","","-5.3","","0.2","","17.8","","0.0","","0.0","","0.0","","0.0","","7","","","M","","M"
"-113.58","53.31","EDMONTON INTL A","3012216","2022-03-19","2022","03","19","","6.0","","-7.7","","-0.9","","18.9","","0.0","","0.0","","0.0","","0.0","","5","","","M","","M"
"-113.58","53.31","EDMONTON INTL A","3012216","2022-03-20","2022","03","20","","4.2","","-8.2","","-2.0","","20.0","","0.0","","0.0","","3.6","","3.6","","3","","32","","66",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-03-21","2022","03","21","","7.5","","-10.7","","-1.6","","19.6","","0.0","","0.0","","0.0","","0.0","","7","","","M","","M"
"-113.58","53.31","EDMONTON INTL A","3012216","2022-03-22","2022","03","22","","7.0","","-5.2","","0.9","","17.1","","0.0","","0.0","","0.0","","0.0","","4","","","M","","M"
"-113.58","53.31","EDMONTON INTL A","3012216","2022-03-23","2022","03","23","","13.1","","1.4","","7.3","","10.7","","0.0","","0.0","","0.0","T","0.0","T","3","","31","","62",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-03-24","2022","03","24","","6.5","","-2.6","","2.0","","16.0","","0.0","","0.0","","0.0","T","0.0","T","2","","32","","57",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-03-25","2022","03","25","","2.2","","-4.1","","-1.0","","19.0","","0.0","","0.0","","0.6","","0.6","","2","","10","","38",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-03-26","2022","03","26","","-1.9","","-5.9","","-3.9","","21.9","","0.0","","0.0","","3.4","","3.4","","6","","12","","38",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-03-27","2022","03","27","","4.4","","-8.1","","-1.9","","19.9","","0.0","","0.0","","0.0","T","0.0","T","6","","","M","","M"
"-113.58","53.31","EDMONTON INTL A","3012216","2022-03-28","2022","03","28","","-0.5","","-5.2","","-2.9","","20.9","","0.0","","0.0","","1.5","","2.8","","6","","35","","33",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-03-29","2022","03","29","","6.7","","-8.9","","-1.1","","19.1","","0.0","","0.0","","0.0","","0.0","","3","","17","","32",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-03-30","2022","03","30","","13.4","","-1.2","","6.1","","11.9","","0.0","","0.0","","0.0","","0.0","","2","","30","","52",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-03-31","2022","03","31","","7.7","","1.1","","4.4","","13.6","","0.0","","0.4","","0.2","","0.6","","2","","30","","65",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-04-01","2022","04","01","","7.1","","-1.9","","2.6","","15.4","","0.0","","0.0","","0.0","T","0.0","T","0","T","12","","35",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-04-02","2022","04","02","","10.1","","-3.2","","3.5","","14.5","","0.0","","0.0","","0.0","","0.0","","0","T","29","","50",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-04-03","2022","04","03","","12.1","","-3.0","","4.6","","13.4","","0.0","","0.0","","0.0","","0.0","","0","T","19","","42",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-04-04","2022","04","04","","13.4","","-0.6","","6.4","","11.6","","0.0","","0.0","T","0.0","","0.0","T","0","T","14","","38",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-04-05","2022","04","05","","10.0","","0.4","","5.2","","12.8","","0.0","","0.0","T","0.0","","0.0","T","0","T","32","","62",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-04-06","2022","04","06","","9.5","","-6.4","","1.6","","16.4","","0.0","","0.0","","0.0","","0.0","","0","T","30","","51",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-04-07","2022","04","07","","16.2","","-6.5","","4.9","","13.1","","0.0","","0.0","","0.0","","0.0","","0","T","18","","55",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-04-08","2022","04","08","","24.0","","1.9","","13.0","","5.0","","0.0","","0.0","T","0.0","","0.0","T","0","T","32","","78",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-04-09","2022","04","09","","9.5","","-0.5","","4.5","","13.5","","0.0","","0.0","","0.0","T","0.0","T","0","T","30","","78",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-04-10","2022","04","10","","4.0","","-4.2","","-0.1","","18.1","","0.0","","0.0","","0.0","","0.0","","0","T","31","","68",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-04-11","2022","04","11","","-1.2","","-9.5","","-5.4","","23.4","","0.0","","0.0","","0.0","T","0.0","T","0","T","34","","55",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-04-12","2022","04","12","","-5.0","","-11.6","","-8.3","","26.3","","0.0","","0.0","","0.4","","0.4","","0","T","33","","46",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-04-13","2022","04","13","","-2.4","","-11.0","","-6.7","","24.7","","0.0","","0.0","","0.0","T","0.0","T","0","T","36","","35",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-04-14","2022","04","14","","-1.7","","-11.9","","-6.8","","24.8","","0.0","","0.0","","0.0","T","0.0","T","0","T","35","","37",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-04-15","2022","04","15","","-0.8","","-7.2","","-4.0","","22.0","","0.0","","0.0","","0.4","","0.4","","0","T","","M","","M"
"-113.58","53.31","EDMONTON INTL A","3012216","2022-04-16","2022","04","16","","1.3","","-6.8","","-2.8","","20.8","","0.0","","0.0","","0.0","T","0.0","T","0","T","13","","32",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-04-17","2022","04","17","","5.4","","-8.3","","-1.5","","19.5","","0.0","","0.0","","0.3","","0.3","","0","T","","M","","M"
"-113.58","53.31","EDMONTON INTL A","3012216","2022-04-18","2022","04","18","","12.6","","-8.5","","2.1","","15.9","","0.0","","0.0","","0.0","","0.0","","0","T","13","","54",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-04-19","2022","04","19","","5.2","","-0.9","","2.2","","15.8","","0.0","","0.0","","7.6","","7.6","","0","T","10","","57",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-04-20","2022","04","20","","4.6","","-4.1","","0.3","","17.7","","0.0","","0.0","","0.0","T","0.0","T","5","","","M","","M"
"-113.58","53.31","EDMONTON INTL A","3012216","2022-04-21","2022","04","21","","7.6","","-2.1","","2.8","","15.2","","0.0","","0.0","","0.0","","0.0","","0","T","13","","57",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-04-22","2022","04","22","","10.7","","-4.3","","3.2","","14.8","","0.0","","0.0","","0.0","","0.0","","0","T","16","","31",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-04-23","2022","04","23","","15.0","","-6.4","","4.3","","13.7","","0.0","","0.0","T","0.0","","0.0","T","0","T","33","","43",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-04-24","2022","04","24","","16.7","","-5.8","","5.5","","12.5","","0.0","","0.0","","0.0","","0.0","","0","T","14","","37",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-04-25","2022","04","25","","18.5","","1.0","","9.8","","8.2","","0.0","","0.0","","0.0","","0.0","","0","T","12","","57",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-04-26","2022","04","26","","13.2","","0.4","","6.8","","11.2","","0.0","","2.2","","0.0","","2.2","","0","T","12","","53",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-04-27","2022","04","27","","9.8","","0.3","","5.1","","12.9","","0.0","","10.2","","2.8","","13.0","","0","T","30","","53",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-04-28","2022","04","28","","12.4","","-2.2","","5.1","","12.9","","0.0","","0.0","T","0.0","","0.0","T","","","26","","49",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-04-29","2022","04","29","","13.3","","-5.7","","3.8","","14.2","","0.0","","0.0","","0.0","","0.0","","","","31","","33",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-04-30","2022","04","30","","13.2","","-4.5","","4.4","","13.6","","0.0","","1.0","","0.0","","1.0","","","","10","","39",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-05-01","2022","05","01","","16.3","","6.1","","11.2","","6.8","","0.0","","0.9","","0.0","","0.9","","","","17","","58",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-05-02","2022","05","02","","16.1","","1.6","","8.9","","9.1","","0.0","","0.0","","0.0","","0.0","","","","35","","33",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-05-03","2022","05","03","","16.8","","0.5","","8.7","","9.3","","0.0","","0.0","T","0.0","","0.0","T","","","13","","38",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-05-04","2022","05","04","","20.0","","2.6","","11.3","","6.7","","0.0","","0.2","","0.0","","0.2","","","","35","","36",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-05-05","2022","05","05","","23.2","","1.4","","12.3","","5.7","","0.0","","0.0","","0.0","","0.0","","","","19","","38",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-05-06","2022","05","06","","16.6","","5.9","","11.3","","6.7","","0.0","","7.6","","0.0","","7.6","","","","31","","63",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-05-07","2022","05","07","","14.1","","0.4","","7.3","","10.7","","0.0","","0.0","","0.0","","0.0","","","","32","","55",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-05-08","2022","05","08","","9.7","","-3.0","","3.4","","14.6","","0.0","","0.0","","0.0","","0.0","","","","32","","55",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-05-09","2022","05","09","","9.9","","-4.4","","2.8","","15.2","","0.0","","0.0","","0.0","T","0.0","T","","","34","","45",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-05-10","2022","05","10","","9.6","","-2.1","","3.8","","14.2","","0.0","","0.0","","0.6","","0.6","","0","T","30","","41",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-05-11","2022","05","11","","16.9","","2.3","","9.6","","8.4","","0.0","","0.0","T","0.0","","0.0","T","","","","M","","M"
"-113.58","53.31","EDMONTON INTL A","3012216","2022-05-12","2022","05","12","","19.6","","-2.4","","8.6","","9.4","","0.0","","0.0","","0.0","","0.0","","","","23","","45",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-05-13","2022","05","13","","17.9","","5.3","","11.6","","6.4","","0.0","","0.3","","0.0","","0.3","","","","11","","72",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-05-14","2022","05","14","","16.6","","1.9","","9.3","","8.7","","0.0","","0.0","T","0.0","","0.0","T","","","30","","43",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-05-15","2022","05","15","","20.4","","-2.7","","8.9","","9.1","","0.0","","0.0","","0.0","","0.0","","","","10","","38",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-05-16","2022","05","16","","21.1","","9.7","","15.4","","2.6","","0.0","","0.6","","0.0","","0.6","","","","10","","52",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-05-17","2022","05","17","","15.1","","4.6","","9.9","","8.1","","0.0","","0.0","","0.0","","0.0","","","","34","","45",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-05-18","2022","05","18","","14.2","","-1.9","","6.2","","11.8","","0.0","","3.9","","0.0","","3.9","","","","19","","56",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-05-19","2022","05","19","","10.5","","4.1","","7.3","","10.7","","0.0","","14.6","","0.0","","14.6","","","","3","","58",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-05-20","2022","05","20","","11.3","","1.2","","6.3","","11.7","","0.0","","0.0","","0.0","","0.0","","","","34","","51",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-05-21","2022","05","21","","15.1","","-3.7","","5.7","","12.3","","0.0","","0.0","","0.0","","0.0","","","","24","","31",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-05-22","2022","05","22","","19.4","","-0.9","","9.3","","8.7","","0.0","","0.0","","0.0","","0.0","","","","30","","43",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-05-23","2022","05","23","","21.8","","2.8","","12.3","","5.7","","0.0","","0.0","","0.0","","0.0","","","","23","","46",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-05-24","2022","05","24","","19.2","","6.5","","12.9","","5.1","","0.0","","3.0","","0.0","","3.0","","","","24","","55",""
