date,max_dew_point_v,max_dew_point_s,max_dew_point_c,max_dew_point_d,max_relative_humidity_v,max_relative_humidity_s,max_relative_humidity_c,max_relative_humidity_d,max_temperature_v,max_temperature_s,max_temperature_c,max_temperature_d,max_wind_speed_v,max_wind_speed_s,max_wind_speed_c,max_wind_speed_d,min_dew_point_v,min_dew_point_s,min_dew_point_c,min_dew_point_d,min_relative_humidity_v,min_relative_humidity_s,min_relative_humidity_c,min_relative_humidity_d,min_temperature_v,min_temperature_s,min_temperature_c,min_temperature_d,min_wind_speed_v,min_wind_speed_s,min_wind_speed_c,min_wind_speed_d,precipitation_v,precipitation_s,precipitation_c,precipitation_d,rain_v,rain_s,rain_c,rain_d,snow_v,snow_s,snow_c,snow_d,snow_on_ground_v,snow_on_ground_s,snow_on_ground_c,snow_on_ground_d,solar_radiation_v,solar_radiation_s,solar_radiation_c,solar_radiation_d
2023-10-17,1.13,3.56,443,"1993-10-10 2022-10-24",83.55,12.48,443,"1993-10-10 2022-10-24",10.4,5.84,450,"1993-10-10 2022-10-24",23.1,9.28,450,"1993-10-10 2022-10-24",-3.92,3.59,443,"1993-10-10 2022-10-24",47.67,17.98,443,"1993-10-10 2022-10-24",0.33,3.49,450,"1993-10-10 2022-10-24",2.83,3.35,450,"1993-10-10 2022-10-24",0.61,1.95,448,"1993-10-10 2022-10-24",,,,,,,,,,,,,,,,
2023-10-16,1.2,3.6,443,"1993-10-09 2022-10-23",83.5,12.26,443,"1993-10-09 2022-10-23",10.6,5.86,450,"1993-10-09 2022-10-23",22.94,9.01,450,"1993-10-09 2022-10-23",-3.8,3.66,443,"1993-10-09 2022-10-23",47.27,18.01,443,"1993-10-09 2022-10-23",0.42,3.52,450,"1993-10-09 2022-10-23",2.83,3.38,450,"1993-10-09 2022-10-23",0.62,2,449,"1993-10-09 2022-10-23",,,,,,,,,,,,,,,,
2023-10-15,1.34,3.6,444,"1993-10-08 2022-10-22",83.37,12.18,444,"1993-10-08 2022-10-22",10.79,5.88,450,"1993-10-08 2022-10-22",23.1,8.85,450,"1993-10-08 2022-10-22",-3.7,3.71,444,"1993-10-08 2022-10-22",46.85,17.75,444,"1993-10-08 2022-10-22",0.52,3.53,450,"1993-10-08 2022-10-22",2.95,3.47,450,"1993-10-08 2022-10-22",0.54,1.69,449,"1993-10-08 2022-10-22",,,,,,,,,,,,,,,,
2023-10-14,1.55,3.61,445,"1993-10-07 2022-10-21",83.42,12.22,445,"1993-10-07 2022-10-21",11.09,5.91,450,"1993-10-07 2022-10-21",23.41,9.01,450,"1993-10-07 2022-10-21",-3.49,3.73,445,"1993-10-07 2022-10-21",46.38,17.48,445,"1993-10-07 2022-10-21",0.74,3.52,450,"1993-10-07 2022-10-21",2.94,3.56,450,"1993-10-07 2022-10-21",0.53,1.67,449,"1993-10-07 2022-10-21",,,,,,,,,,,,,,,,
2023-10-13,1.74,3.64,446,"1993-10-06 2022-10-20",83.31,12.2,446,"1993-10-06 2022-10-20",11.36,5.9,450,"1993-10-06 2022-10-20",23.43,9.02,450,"1993-10-06 2022-10-20",-3.27,3.75,446,"1993-10-06 2022-10-20",46.36,17.53,446,"1993-10-06 2022-10-20",0.95,3.54,450,"1993-10-06 2022-10-20",2.98,3.52,450,"1993-10-06 2022-10-20",0.53,1.66,448,"1993-10-06 2022-10-20",,,,,,,,,,,,,,,,
2023-10-12,1.87,3.7,446,"1993-10-05 2022-10-19",83.53,12.12,446,"1993-10-05 2022-10-19",11.6,5.92,450,"1993-10-05 2022-10-19",23.43,9.02,450,"1993-10-05 2022-10-19",-3.14,3.75,446,"1993-10-05 2022-10-19",45.89,17.28,446,"1993-10-05 2022-10-19",1.02,3.54,450,"1993-10-05 2022-10-19",3.04,3.59,450,"1993-10-05 2022-10-19",0.54,1.69,448,"1993-10-05 2022-10-19",,,,,,,,,,,,,,,,
2023-10-11,2.08,3.8,447,"1993-10-04 2022-10-18",84.05,11.92,447,"1993-10-04 2022-10-18",11.78,5.95,450,"1993-10-04 2022-10-18",23.34,8.93,450,"1993-10-04 2022-10-18",-2.98,3.79,447,"1993-10-04 2022-10-18",45.75,16.97,447,"1993-10-04 2022-10-18",1.13,3.58,450,"1993-10-04 2022-10-18",3.01,3.59,450,"1993-10-04 2022-10-18",0.54,1.67,447,"1993-10-04 2022-10-18",,,,,,,,,,,,,,,,
2023-10-10,2.26,3.82,447,"1993-10-03 2022-10-17",84.37,11.63,447,"1993-10-03 2022-10-17",11.87,5.89,450,"1993-10-03 2022-10-17",23.36,8.87,450,"1993-10-03 2022-10-17",-2.86,3.8,447,"1993-10-03 2022-10-17",45.9,16.77,447,"1993-10-03 2022-10-17",1.17,3.62,450,"1993-10-03 2022-10-17",3.02,3.62,450,"1993-10-03 2022-10-17",0.51,1.62,447,"1993-10-03 2022-10-17",,,,,,,,,,,,,,,,
2023-10-09,2.42,3.79,448,"1993-10-02 2022-10-16",84.69,11.49,448,"1993-10-02 2022-10-16",11.97,5.91,450,"1993-10-02 2022-10-16",23.35,8.64,450,"1993-10-02 2022-10-16",-2.72,3.8,448,"1993-10-02 2022-10-16",45.93,16.61,448,"1993-10-02 2022-10-16",1.26,3.66,450,"1993-10-02 2022-10-16",3.14,3.74,450,"1993-10-02 2022-10-16",0.52,1.61,447,"1993-10-02 2022-10-16",,,,,,,,,,,,,,,,
2023-10-08,2.63,3.77,448,"1993-10-01 2022-10-15",84.87,11.37,448,"1993-10-01 2022-10-15",12.11,5.96,450,"1993-10-01 2022-10-15",23.54,8.57,450,"1993-10-01 2022-10-15",-2.54,3.78,448,"1993-10-01 2022-10-15",46.1,16.29,448,"1993-10-01 2022-10-15",1.46,3.7,450,"1993-10-01 2022-10-15",3.18,3.85,450,"1993-10-01 2022-10-15",0.56,1.65,447,"1993-10-01 2022-10-15",,,,,,,,,,,,,,,,
2023-10-07,2.85,3.84,448,"1993-09-30 2022-10-14",84.72,11.35,448,"1993-09-30 2022-10-14",12.38,6.02,450,"1993-09-30 2022-10-14",23.57,8.64,450,"1993-09-30 2022-10-14",-2.39,3.88,448,"1993-09-30 2022-10-14",45.85,15.83,448,"1993-09-30 2022-10-14",1.66,3.76,450,"1993-09-30 2022-10-14",3.14,3.81,450,"1993-09-30 2022-10-14",0.57,1.64,447,"1993-09-30 2022-10-14",,,,,,,,,,,,,,,,
2023-10-06,3.04,3.92,448,"1993-09-29 2022-10-13",84.56,11.09,448,"1993-09-29 2022-10-13",12.67,6.09,450,"1993-09-29 2022-10-13",23.63,8.69,450,"1993-09-29 2022-10-13",-2.22,3.93,448,"1993-09-29 2022-10-13",45.33,15.54,448,"1993-09-29 2022-10-13",1.91,3.87,450,"1993-09-29 2022-10-13",3.12,3.79,450,"1993-09-29 2022-10-13",0.58,1.7,446,"1993-09-29 2022-10-13",,,,,,,,,,,,,,,,
2023-10-05,3.27,3.93,448,"1993-09-28 2022-10-12",84.4,10.9,448,"1993-09-28 2022-10-12",13.08,6.1,450,"1993-09-28 2022-10-12",23.64,8.56,450,"1993-09-28 2022-10-12",-2,3.95,448,"1993-09-28 2022-10-12",44.81,15.41,448,"1993-09-28 2022-10-12",2.23,3.94,450,"1993-09-28 2022-10-12",3.12,3.79,450,"1993-09-28 2022-10-12",0.62,1.88,446,"1993-09-28 2022-10-12",,,,,,,,,,,,,,,,
2023-10-04,3.58,3.9,448,"1993-09-27 2022-10-11",84.22,10.84,448,"1993-09-27 2022-10-11",13.52,6.16,450,"1993-09-27 2022-10-11",23.79,8.53,450,"1993-09-27 2022-10-11",-1.73,3.95,448,"1993-09-27 2022-10-11",44.33,15.38,448,"1993-09-27 2022-10-11",2.58,3.94,450,"1993-09-27 2022-10-11",3.1,3.77,450,"1993-09-27 2022-10-11",0.6,1.86,446,"1993-09-27 2022-10-11",,,,,,,,,,,,,,,,
2023-10-03,3.93,3.84,448,"1993-09-26 2022-10-10",84.12,10.9,448,"1993-09-26 2022-10-10",14.02,6.07,450,"1993-09-26 2022-10-10",24.02,8.63,450,"1993-09-26 2022-10-10",-1.4,3.95,448,"1993-09-26 2022-10-10",44.04,15.25,448,"1993-09-26 2022-10-10",2.96,4,450,"1993-09-26 2022-10-10",3.15,3.76,450,"1993-09-26 2022-10-10",0.62,1.94,446,"1993-09-26 2022-10-10",,,,,,,,,,,,,,,,
2023-10-02,4.2,3.81,449,"1993-09-25 2022-10-09",84.15,10.8,449,"1993-09-25 2022-10-09",14.53,6.07,450,"1993-09-25 2022-10-09",23.93,8.61,450,"1993-09-25 2022-10-09",-1.09,3.97,449,"1993-09-25 2022-10-09",43.45,15.09,449,"1993-09-25 2022-10-09",3.24,4,450,"1993-09-25 2022-10-09",3.08,3.71,450,"1993-09-25 2022-10-09",0.61,1.95,446,"1993-09-25 2022-10-09",,,,,,,,,,,,,,,,
2023-10-01,4.51,3.71,448,"1993-09-24 2022-10-08",84.23,10.77,448,"1993-09-24 2022-10-08",14.96,6.01,450,"1993-09-24 2022-10-08",23.92,8.56,450,"1993-09-24 2022-10-08",-0.85,3.88,448,"1993-09-24 2022-10-08",42.88,14.6,448,"1993-09-24 2022-10-08",3.53,3.99,450,"1993-09-24 2022-10-08",2.99,3.67,450,"1993-09-24 2022-10-08",0.56,1.83,445,"1993-09-25 2022-10-08",,,,,,,,,,,,,,,,
2023-09-30,4.76,3.69,447,"1993-09-23 2022-10-07",84.29,10.69,447,"1993-09-23 2022-10-07",15.34,5.95,450,"1993-09-23 2022-10-07",23.86,8.63,450,"1993-09-23 2022-10-07",-0.58,3.8,447,"1993-09-23 2022-10-07",42.79,14.18,447,"1993-09-23 2022-10-07",3.78,3.96,450,"1993-09-23 2022-10-07",3,3.66,450,"1993-09-23 2022-10-07",0.55,1.83,445,"1993-09-23 2022-10-07",,,,,,,,,,,,,,,,
2023-09-29,4.93,3.7,446,"1993-09-22 2022-10-06",84.38,10.6,446,"1993-09-22 2022-10-06",15.54,6.04,450,"1993-09-22 2022-10-06",23.67,8.46,450,"1993-09-22 2022-10-06",-0.37,3.85,446,"1993-09-22 2022-10-06",43.01,14.27,446,"1993-09-22 2022-10-06",3.97,3.98,450,"1993-09-22 2022-10-06",2.98,3.59,450,"1993-09-22 2022-10-06",0.57,1.92,445,"1993-09-22 2022-10-06",,,,,,,,,,,,,,,,
2023-09-28,5.04,3.67,445,"1993-09-21 2022-10-05",84.65,10.47,445,"1993-09-21 2022-10-05",15.74,6.12,450,"1993-09-21 2022-10-05",23.57,8.32,450,"1993-09-21 2022-10-05",-0.2,3.83,445,"1993-09-21 2022-10-05",42.94,14.39,445,"1993-09-21 2022-10-05",4.05,3.92,450,"1993-09-21 2022-10-05",2.97,3.6,450,"1993-09-21 2022-10-05",0.62,2.09,446,"1993-09-21 2022-10-05",,,,,,,,,,,,,,,,
2023-09-27,5.23,3.61,445,"1993-09-20 2022-10-04",84.64,10.44,445,"1993-09-20 2022-10-04",15.85,6.09,450,"1993-09-20 2022-10-04",23.64,8.36,450,"1993-09-20 2022-10-04",0.01,3.77,445,"1993-09-20 2022-10-04",43.2,14.39,445,"1993-09-20 2022-10-04",4.25,3.82,450,"1993-09-20 2022-10-04",2.94,3.59,450,"1993-09-20 2022-10-04",0.64,2.08,447,"1993-09-20 2022-10-04",,,,,,,,,,,,,,,,
2023-09-26,5.41,3.52,445,"1993-09-19 2022-10-03",84.64,10.48,445,"1993-09-19 2022-10-03",16,6,450,"1993-09-19 2022-10-03",23.77,8.38,450,"1993-09-19 2022-10-03",0.22,3.72,445,"1993-09-19 2022-10-03",43.59,14.71,445,"1993-09-19 2022-10-03",4.41,3.77,450,"1993-09-19 2022-10-03",3.01,3.59,450,"1993-09-19 2022-10-03",0.75,2.33,448,"1993-09-19 2022-10-03",,,,,,,,,,,,,,,,
2023-09-25,5.64,3.5,445,"1993-09-18 2022-10-02",84.79,10.43,445,"1993-09-18 2022-10-02",16.27,5.88,450,"1993-09-18 2022-10-02",23.84,8.48,450,"1993-09-18 2022-10-02",0.45,3.68,445,"1993-09-18 2022-10-02",43.6,14.95,445,"1993-09-18 2022-10-02",4.67,3.65,450,"1993-09-18 2022-10-02",3.03,3.58,450,"1993-09-18 2022-10-02",0.82,2.44,448,"1993-09-18 2022-10-02",,,,,,,,,,,,,,,,
2023-09-24,5.86,3.49,444,"1993-09-17 2022-10-01",84.86,10.44,444,"1993-09-17 2022-10-01",16.5,5.78,450,"1993-09-17 2022-10-01",23.74,8.48,450,"1993-09-17 2022-10-01",0.67,3.71,444,"1993-09-17 2022-10-01",43.5,15.03,444,"1993-09-17 2022-10-01",4.88,3.6,450,"1993-09-17 2022-10-01",2.92,3.41,450,"1993-09-17 2022-10-01",0.83,2.5,448,"1993-09-17 2022-10-01",,,,,,,,,,,,,,,,
2023-09-23,6.08,3.53,443,"1993-09-16 2022-09-30",84.92,10.32,443,"1993-09-16 2022-09-30",16.8,5.82,450,"1993-09-16 2022-09-30",23.57,8.44,450,"1993-09-16 2022-09-30",0.95,3.74,443,"1993-09-16 2022-09-30",43.52,15.14,443,"1993-09-16 2022-09-30",5.1,3.58,450,"1993-09-16 2022-09-30",2.87,3.35,450,"1993-09-16 2022-09-30",0.84,2.7,448,"1993-09-16 2022-09-30",,,,,,,,,,,,,,,,
2023-09-22,6.31,3.47,443,"1993-09-15 2022-09-29",85.25,10.31,443,"1993-09-15 2022-09-29",17.06,5.87,450,"1993-09-15 2022-09-29",23.41,8.33,450,"1993-09-15 2022-09-29",1.22,3.63,443,"1993-09-15 2022-09-29",43.79,15.65,443,"1993-09-15 2022-09-29",5.28,3.54,450,"1993-09-15 2022-09-29",2.94,3.52,450,"1993-09-15 2022-09-29",0.96,2.94,448,"1993-09-15 2022-09-29",,,,,,,,,,,,,,,,
2023-09-21,6.5,3.41,443,"1993-09-14 2022-09-28",85.5,10.43,443,"1993-09-14 2022-09-28",17.26,5.87,450,"1993-09-14 2022-09-28",23.24,8.26,450,"1993-09-14 2022-09-28",1.48,3.61,443,"1993-09-14 2022-09-28",44.08,15.79,443,"1993-09-14 2022-09-28",5.41,3.45,450,"1993-09-14 2022-09-28",2.92,3.55,450,"1993-09-14 2022-09-28",0.98,3.09,449,"1993-09-14 2022-09-28",,,,,,,,,,,,,,,,
